LPA	-86.0761	-19.9897	-47.9860
RPA	85.7939	-20.0093	-48.0310
Nz	0.0083	86.8110	-39.9830
Fp1	-29.4367	83.9171	-6.9900
Fpz	0.1123	88.2470	-1.7130
Fp2	29.8723	84.8959	-7.0800
AF9	-48.9708	64.0872	-47.6830
AF7	-54.8397	68.5722	-10.5900
AF5	-45.4307	72.8622	5.9780
AF3	-33.7007	76.8371	21.2270
AF1	-18.4717	79.9041	32.7520
AFz	0.2313	80.7710	35.4170
AF2	19.8203	80.3019	32.7640
AF4	35.7123	77.7259	21.9560
AF6	46.5843	73.8078	6.0340
AF8	55.7433	69.6568	-10.7550
AF10	50.4352	63.8698	-48.0050
F9	-70.1019	41.6523	-49.9520
F7	-70.2629	42.4743	-11.4200
F5	-64.4658	48.0353	16.9210
F3	-50.2438	53.1112	42.1920
F1	-27.4958	56.9311	60.3420
Fz	0.3122	58.5120	66.4620
F2	29.5142	57.6019	59.5400
F4	51.8362	54.3048	40.8140
F6	67.9142	49.8297	16.3670
F8	73.0431	44.4217	-12.0000
F10	72.1141	42.0667	-50.4520
FT9	-84.0759	14.5673	-50.4290
FT7	-80.7750	14.1203	-11.1350
FC5	-77.2149	18.6433	24.4600
FC3	-60.1819	22.7162	55.5440
FC1	-34.0619	26.0111	79.9870
FCz	0.3761	27.3900	88.6680
FC2	34.7841	26.4379	78.8080
FC4	62.2931	23.7228	55.6300
FC6	79.5341	19.9357	24.4380
FT8	81.8151	15.4167	-11.3300
FT10	84.1131	14.3647	-50.5380
T9	-85.8941	-15.8287	-48.2830
T7	-84.1611	-16.0187	-9.3460
C5	-80.2801	-13.7597	29.1600
C3	-65.3581	-11.6317	64.3580
C1	-36.1580	-9.9839	89.7520
Cz	0.4009	-9.1670	100.2440
C2	37.6720	-9.6241	88.4120
C4	67.1179	-10.9003	63.5800
C6	83.4559	-12.7763	29.2080
T8	85.0799	-15.0203	-9.4900
T10	85.5599	-16.3613	-48.2710
TP9	-85.6192	-46.5147	-45.7070
TP7	-84.8302	-46.0217	-7.0560
CP5	-79.5922	-46.5507	30.9490
CP3	-63.5562	-47.0088	65.6240
CP1	-35.5131	-47.2919	91.3150
CPz	0.3858	-47.3180	99.4320
CP2	38.3838	-47.0731	90.6950
CP4	66.6118	-46.6372	65.5800
CP6	83.3218	-46.1013	31.2060
TP8	85.5488	-45.5453	-7.1300
TP10	86.1618	-47.0353	-45.8690
P9	-73.0093	-73.7657	-40.9980
P7	-72.4343	-73.4527	-2.4870
P5	-67.2723	-76.2907	28.3820
P3	-53.0073	-78.7878	55.9400
P1	-28.6203	-80.5249	75.4360
Pz	0.3247	-81.1150	82.6150
P2	31.9197	-80.4871	76.7160
P4	55.6667	-78.5602	56.5610
P6	67.8877	-75.9043	28.0910
P8	73.0557	-73.0683	-2.5400
P10	73.8947	-74.3903	-41.2200
PO9	-54.9104	-98.0448	-35.4650
PO7	-54.8404	-97.5279	2.7920
PO5	-48.4244	-99.3408	21.5990
PO3	-36.5114	-100.8529	37.1670
PO1	-18.9724	-101.7680	46.5360
POz	0.2156	-102.1780	50.6080
PO2	19.8776	-101.7930	46.3930
PO4	36.7816	-100.8491	36.3970
PO6	49.8196	-99.4461	21.7270
PO8	55.6666	-97.6251	2.7300
PO10	54.9876	-98.0911	-35.5410
O1	-29.4134	-112.4490	8.8390
Oz	0.1076	-114.8920	14.6570
O2	29.8426	-112.1560	8.8000
I1	-29.8184	-114.5700	-29.2160
Iz	0.0045	-118.5650	-23.0780
I2	29.7416	-114.2600	-29.2560
AFp9h	-43.2897	75.8552	-28.2440
AFp7h	-38.5517	79.9532	-4.9950
AFp5h	-27.9857	82.4591	2.7020
AFp3h	-17.1947	84.8491	10.0270
AFp1h	-5.9317	86.8780	16.2000
AFp2h	7.1053	87.0740	16.4690
AFp4h	18.9233	85.5969	11.4430
AFp6h	28.6443	82.9759	2.8280
AFp8h	39.3203	80.6868	-4.7250
AFp10h43.8223	76.5418	-28.3070
AFF9h	-63.2538	53.8573	-30.3160
AFF7h	-61.3508	58.7992	0.8970
AFF5h	-50.7998	64.0412	23.0890
